,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
3033,Twister,92000000,Action Adventure Drama,664,wife husband relationship tornado twister oklahoma metereologist,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",32.079995000000004,6.1,950,Helen Hunt Bill Paxton Cary Elwes Jami Gertz Philip Seymour Hoffman,Jan de Bont,"['Gerald R. Molen', 'Walter F. Parkes', 'Steven Spielberg', 'Laurie MacDonald']",,['Mark Mancina'],['Jack Green'],['United States of America'],"['Warner Bros.', 'Constant c Productions', 'Amblin Entertainment', 'Universal Pictures']",['English']
3034,Two Brothers,74500000,Adventure Drama Family,1997,brother brother relationship loss of brother cambodia chase tiger,"Two tigers are separated as cubs and taken into captivity, only to be reunited years later as enemies by an explorer (Pearce) who inadvertently forces them to fight each other.",8.884317999999997,6.9,180,Ma\u00ef Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen St\u00e9phanie Lagarde,Jean-Jacques Annaud,,,['Stephen Warbeck'],['Jean-Marie Dreujou'],"['United Kingdom', 'France']","['TF1 Films Production', 'Two Brothers Productions', 'Pathe', 'Canal+', 'Pathé Renn Productions']","['Français', 'ภาษาไทย', 'English']"
3035,Two Girls and a Guy,1000000,Drama Romance,32456,love revenge loft analingus actor,"Two women confront their boyfriend, a two-timing actor who professed eternal love to each.",4.86805,5.4,24,Robert Downey Jr. Natasha Gregson Wagner Heather Graham Angel David Frederique van der Wal,James Toback,,['James Toback'],,,['United States of America'],['Fox Searchlight Pictures'],['English']
3036,Two Lovers,12000000,Drama Romance,10362,love of one's life neighbor,A depressed man moves back in with his parents following a recent heartbreak.,8.290636,6.6,154,Joaquin Phoenix Gwyneth Paltrow Isabella Rossellini Vinessa Shaw Moni Moshonov,James Gray,"['Mark Cuban', 'Agn\\u00e8s Mentre', 'Todd Wagner', 'Marc Butan']",['Ric Menello'],,['Joaqu\\u00edn Baca-Asay'],"['France', 'United States of America']","['2929 Productions', 'Wild Bunch', 'Tempesta Films']",['English']
3037,Two Weeks Notice,60000000,Romance Comedy,2642,new york parish hall romantic comedy lawyer billionaire,"Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George.",24.153567000000002,5.9,487,Sandra Bullock Hugh Grant Alicia Witt Dana Ivey Robert Klein,Marc Lawrence,,,['John Powell'],['L\\u00e1szl\\u00f3 Kov\\u00e1cs'],"['United States of America', 'Australia']","['NPV Entertainment', 'Village Roadshow Pictures', 'Castle Rock Entertainment', 'Fortis Films']",['English']
3038,U2 3D,15000000,Music Documentary,37003,,"A 3-D presentation of U2's global ""Vertigo"" tour. Shot at seven different shows, this production employs the greatest number of 3-D cameras ever used for a single project.",0.33519499999999997,6.7,10,Bono The Edge Adam Clayton  Larry Mullen Jr.,Mark Pellington,"['David Chipon', 'David Modell', 'Sandy Climan', 'Michael Peyser']",,,,['United States of America'],"['3ality Digital Entertainment', 'National Geographic Entertainment']",['English']
3039,U-571,62000000,Action Drama Thriller War,3536,submarine world war ii north atlantic mission,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'.",18.096884,6.1,340,Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith,Jonathan Mostow,,,['Richard Marvin'],['Oliver Wood'],"['United States of America', 'France']","['Universal Pictures', 'Dino De Laurentiis Company', 'Canal Plus']","['Deutsch', 'Pусский', 'English', 'Français']"
3040,Ultraviolet,30000000,Science Fiction Action Thriller,9920,skyscraper vampire victim dystopia boy,"In the late 21st century, a subculture of humans have emerged who have been modified genetically by a vampire-like disease, giving them enhanced speed, incredible stamina and acute intelligence. As they are set apart from ""normal"" and ""healthy"" humans, the world is pushed to the brink of worldwide civil war  aimed at the destruction of the ""diseased"" population. In the middle of this crossed-fire is - an infected woman - Ultraviolet, who finds herself protecting a nine-year-old boy who has been marked for death by the human government as he is believed to be a threat to humans.",15.89534,4.8,458,Milla Jovovich Cameron Bright Nick Chinlund Sebastien Andrieu Ida Martin,Kurt Wimmer,"['T.C. Wang', 'Charles Wang', 'Tony Mark', 'Sue Jett']",['Kurt Wimmer'],,['Arthur Wong'],['United States of America'],"['Screen Gems', 'Ultravi Productions']","['Tiếng Việt', 'English']"
3041,Unbreakable,75000000,Science Fiction Thriller Drama,9741,father son relationship train accident comic book marriage crisis invulnerability,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead – and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",42.006908,6.9,1946,Bruce Willis Samuel L. Jackson Robin Wright Spencer Treat Clark John Patrick Amedori,M. Night Shyamalan,"['Roger Birnbaum', 'Gary Barber']",['M. Night Shyamalan'],['James Newton Howard'],['Eduardo Serra'],['United States of America'],"['Touchstone Pictures', 'Barry Mendel Productions', 'Blinding Edge Pictures', 'Limited Edition Productions Inc.']",['English']
3042,Unbroken,65000000,Drama War,227306,world war ii prisoners of war biography sport war,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",43.055253,7.3,1400,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie,,,,['Roger Deakins'],['United States of America'],"['Jolie Pas', 'Legendary Pictures', '3 Arts Entertainment']","['Italiano', '日本語', 'English']"
3043,Undercover Brother,25000000,Action Comedy,12277,usa president double life policy and organisations undercover intelligence,"An Afro-American organization, the B.R.O.T.H.E.R.H.O.O.D., is in permanent fight against a white organization ""The Man"" defending the values of the black people in North America. When the Afro-American candidate Gen. Warren Boutwell behaves strangely in his presidential campaign, Undercover Brother is hired to work undercover for ""The Man"" and find what happened with the potential candidate.",6.086083,5.5,112,Eddie Griffin Chris Kattan Denise Richards Aunjanue Ellis Chi McBride,Malcolm D. Lee,"['Kim Roth', 'John Ridley', 'Bill Carraro']",,['Stanley Clarke'],['Tom Priestley Jr.'],['United States of America'],['Universal Pictures'],['English']
3044,Underdogs,22000000,Animation Adventure Romance,153158,soccer,"In the small village where Amadeo lives there is no one good enough to challenge his skills at Table Football. But, while Amadeo may be a genius as a table football player in real life he's a loser. He's in love with Lara, his childhood friend, but he's so shy that he can't bring himself to confess his love for her. So he just hangs out in his quaint, timeless village. When Amadeo beats the village bully Flash at Table Football. The scene is set for an epic rivalry. Consumed with anger Flash vows to get even and 10 years later he returns as an International Superstar, a Football Icon and Galatico determined to wreak his revenge.",14.866351000000002,6.0,122,Juan Jos\u00e9 Campanella Diego Ramos Pablo Rago Axel Kuschevatzky David Masajnik,Juan Jos\u00e9 Campanella,,,,,"['Spain', 'Argentina']","['Plural - Jempsa', 'Prana Animation Studios', 'Ministerio de Cultura', 'Catmandu Branded Entertainment', '100 Bares', 'JEMPSA', '369 Productions', 'Televisión Federal (Telefe)', 'Instituto de Crédito Oficial (ICO)']","['English', 'Español']"
3045,Under Siege 2: Dark Territory,60000000,Action Thriller,3512,terrorist pentagon satellite navy seal train,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",13.080725,5.6,210,Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut,Geoff Murphy,,,['Basil Poledouris'],['Robbie Greenberg'],['United States of America'],"['Victor Company of Japan (JVC)', 'Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Cutting Edge Films']",['English']
3046,Under the Rainbow,20000000,Comedy,47941,,"In World War II era Los Angeles, the manager of the Culver Hotel leaves his nephew in charge for a weekend. The nephew changes the name to the Hotel Rainbow and overbooks with royalty, assassins, secret agents, Japanese tourists, and munchkins (from the cast of _Wizard of Oz, The (1939)_ ). Secret Service agent Bruce Thorpe and casting director Annie Clark find romance amidst the intrigue and confusion.",0.173964,4.9,7,Chevy Chase Carrie Fisher Eve Arden Joseph Maher Robert Donner,Steve Rash,,,,,['United States of America'],['[]'],['English']
3047,Under the Skin,13300000,Thriller Science Fiction Drama,97370,male nudity scotland edinburgh alien very little dialogue,"Jonathan Glazer's atmospheric, visually arresting abstraction stars Scarlett Johansson as a seductive alien who prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.",29.782161,6.0,1102,Scarlett Johansson Kry\u0161tof H\u00e1dek Paul Brannigan Michael Moreland Scott Dymond,Jonathan Glazer,,,['Mica Levi'],['Daniel Landin'],"['United Kingdom', 'Switzerland', 'United States of America']","['Scottish Screen', 'Nick Wechsler Productions', 'A24', 'Creative Scotland', 'JW Films', 'UK Film Council', 'FilmNation Entertainment', 'Silver Reel', 'Film4', 'British Film Institute']",['English']
3048,Underworld,22000000,Fantasy Action Thriller,277,budapest subway love of one's life vampire bite,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",81.829237,6.6,2512,Kate Beckinsale Scott Speedman Michael Sheen Shane Brolly Bill Nighy,Len Wiseman,"['Skip Williamson', 'Henry Winterstern', 'Robert Bernacchi', 'Terry McKay', 'James McQuaide']",,['Paul Haslinger'],['Tony Pierce-Roberts'],"['Hungary', 'United Kingdom', 'Germany', 'United States of America']","['Lakeshore Entertainment', 'Subterranean Productions UK Ltd.', 'Underworld Produktions GmbH', 'Subterranean Productions LLC', 'Laurinfilm']",['English']
3049,Underworld: Awakening,70000000,Fantasy Action Horror,52520,vampire daughter hybrid child vampire werewolf,"After being held in a coma-like state for fifteen years, vampire Selene learns that she has a fourteen-year-old vampire/Lycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.",58.40120400000001,6.1,1862,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind,"['Skip Williamson', 'David Kern', 'Eric Reid', 'David Coatsworth', 'James McQuaide', 'Henry Winterstern']",,['Paul Haslinger'],['Scott Kevan'],['United States of America'],"['UW4 Productions', 'Screen Gems', 'Lakeshore Entertainment', 'Saturn Films', 'Sketch Films']","['Pусский', 'English']"
3050,Underworld: Evolution,50000000,Fantasy Action Science Fiction Thriller,834,budapest key vampire light werewolf,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.",49.020045,6.4,1528,Kate Beckinsale Scott Speedman Tony Curran Shane Brolly Derek Jacobi,Len Wiseman,"['Terry McKay', 'Danny McBride', 'James McQuaide']",,['Marco Beltrami'],['Simon Duggan'],['United States of America'],"['Screen Gems', 'Lakeshore Entertainment']","['English', 'Français', 'Magyar']"
3051,Underworld: Rise of the Lycans,35000000,Fantasy Action Adventure Science Fiction Thriller,12437,prison underworld slavery castle vampire,"A prequel to the first two Underworld films, this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love, Sonja, courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people, Lucian faces off against the Death Dealer army in a bid for Lycan independence.",51.927471000000004,6.2,1428,Bill Nighy Michael Sheen Rhona Mitra Shane Brolly Steven Mackintosh,Patrick Tatopoulos,['Beth DePatie'],,,['Ross Emery'],['United States of America'],"['Sketch Films', 'Lakeshore Entertainment', 'UW3 Film Productions', 'Screen Gems']",['English']
3052,Undiscovered,9000000,Comedy Romance,17926,independent film aspiring singer singer los angeles,A group of aspiring entertainers try to establish careers for themselves in the city of Los Angeles.,2.0095970000000003,4.5,12,Kip Pardue Carrie Fisher Shannyn Sossamon Pell James Steven Strait,Meiert Avis,,['John Galt'],,,['United States of America'],"['Cinerenta Medienbeteiligungs KG', 'Lakeshore Entertainment', 'Intermedia Films']",['English']
3053,Undisputed,20000000,Action Adventure Drama Thriller,15070,sport,"Monroe Hutchens is the heavyweight champion of Sweetwater, a maximum security prison. He was convicted to a life sentence due to a passionate crime. Iceman Chambers is the heavyweight champion, who lost his title due to a rape conviction to ten years in Sweetwater. WHen these two giants collide in the same prison, they fight against each other disputing who is the real champion.",17.227376,6.1,139,Wesley Snipes Ving Rhames Peter Falk Michael Rooker Jon Seda,Walter Hill,,['David Giler'],,,['United States of America'],"['Amen Ra Films', 'Miramax Films']",['English']
3054,Unfaithful,50000000,Thriller Drama,2251,adultery infidelity eroticism literature lover,"Connie is a wife and mother whose 11-year marriage to Edward has lost its sexual spark. When Connie literally runs into handsome book collector Paul, he sweeps her into an all-consuming affair. But Edward soon becomes suspicious and decides to confront the other man.",14.382253,6.3,276,Richard Gere Diane Lane Olivier Martinez Erik Per Sullivan Zeljko Ivanek,Adrian Lyne,"['Pierre-Richard Muller', 'Arnon Milchan', 'Lawrence Steven Meyers']",,,['Peter Biziou'],['United States of America'],"['Epsilon Motion Pictures', 'Fox 2000 Pictures', 'Regency Enterprises', 'Unfaithful Filmproduktion GmbH & Co. KG']","['English', 'Français']"
3055,Unfinished Business,35000000,Comedy,239573,europe business trip,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",16.832311999999998,5.0,320,Vince Vaughn Dave Franco James Marsden June Diane Raphael Sienna Miller,Ken Scott,,['Steve Conrad'],,,['United States of America'],"['Studio Babelsberg', 'Escape Artists', 'New Regency Pictures', 'Regency Enterprises']",['English']
3056,Unforgiven,14000000,Western,33,prostitute sheriff bounty regret right and justice,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",37.380435,7.7,1113,Clint Eastwood Gene Hackman Morgan Freeman Richard Harris Jaimz Woolvett,Clint Eastwood,['David Valdes'],,['Lennie Niehaus'],['Jack Green'],['United States of America'],"['Warner Bros.', 'Malpaso Productions']",['English']
3057,Unfriended,1000000,Horror Thriller,277685,computer bullying revenge internet teenager,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. A first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead. Told entirely from a young girl's computer desktop, Unfriended redefines 'found footage' for a new generation of teens.",41.972328999999995,5.5,1047,Shelley Hennig Moses Jacob Storm Renee Olstead William Peltz Jacob Wysocki,Levan Gabriadze,['Jason Blum'],['Nelson Greaves'],,['Adam Sidman'],['United States of America'],"['Blumhouse Productions', 'Bazelevs Production']",['English']
3058,United 93,15000000,Drama History Crime Thriller Action,9829,airplane hijacking terror cell emergency landing war on terror,"A real time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",17.501379999999994,6.9,367,J.J. Johnson Polly Adams Trish Gates Nancy McDoniel Opal Alladin,Paul Greengrass,"['Debra Hayward', 'Liza Chasin']",,['John Powell'],['Barry Ackroyd'],"['United Kingdom', 'France', 'United States of America']","['Sidney Kimmel Entertainment', 'Working Title Films', 'Universal Pictures', 'StudioCanal']","['English', 'العربية', 'Deutsch']"
3059,Universal Soldier: The Return,45000000,Action Science Fiction,10366,super computer computer program destiny timebomb,"Luc Deveraux, the heroic former Universal Soldier, is about to be thrown into action once again. When Seth (Michael Jai White), the supercomputer controlled ultra-warrior, decides to take revenge and destroy its creators, only Luc can stop it. All hell breaks loose as Luc battles Seth and a deadly team of perfect soldiers in a struggle that pits man against machine and good against evil.",14.566664000000001,4.2,135,Jean-Claude Van Damme Kiana Tom Bill Goldberg Michael Jai White Heidi Schanz,Mic Rodgers,,,['Don Davis'],['Mike Benson'],['United States of America'],"['TriStar Pictures', 'Baumgarten-Prophet Entertainment']",['English']
3060,Unknown,30000000,Action Mystery Thriller,48138,taxi hotel coma taxi driver prince,"An American biologist attending a conference in Berlin awakens from a coma after a car accident, only to discover that someone has taken his identity and that no one, not even his wife, believes him. With the help of an illegal immigrant and a former Stazi agent, he sets out to prove who he is and find out why people are trying to kill him.",38.643914,6.5,1265,Liam Neeson Diane Kruger January Jones Aidan Quinn Bruno Ganz,Jaume Collet-Serra,"['Susan Downey', 'Sarah Meyer', 'Steve Richards', 'Peter McAleese']",,"['Alexander Rudd', 'John Ottman']",['Flavio Mart\\u00ednez Labiano'],"['Germany', 'France', 'United Kingdom']","['Horticus UK', 'Studio Babelsberg', 'StudioCanal', 'Dark Castle Entertainment', 'TF1 Films Production', 'Canal+', 'Panda Productions Inc.']","['Türkçe', 'Deutsch', 'English', 'العربية']"
3061,Unleashed,45000000,Action Crime,10027,martial arts hitman serial killer,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",25.999888000000002,6.6,518,Jet Li Morgan Freeman Bob Hoskins Vincent Regan Dylan Brown,Louis Leterrier,['Bernard Grenet'],,['Massive Attack'],['Pierre Morel'],"['France', 'United States of America', 'United Kingdom']","['Current Entertainment', 'Danny the Dog Prods Ltd.', 'Canal Plus', 'Qian Yian International', 'EuropaCorp', 'TF1 Films Production', 'Clubdeal']","['English', 'Deutsch', 'Español']"
3062,Unstoppable,100000000,Action Thriller,44048,runaway train,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster.",37.698465,6.3,1165,Denzel Washington Chris Pine Rosario Dawson Ethan Suplee Kevin Corrigan,Tony Scott,"['Rick Yorn', 'Jeff Kwatinetz', 'Chris Ciaffa']",['Mark Bomback'],['Harry Gregson-Williams'],['Ben Seresin'],['United States of America'],"['Prospect Park', 'Millbrook Farm Productions', 'Firm Films', 'Scott Free Productions', 'Twentieth Century Fox Film Corporation']",['English']
3063,Untraceable,35000000,Drama,8090,suicide fbi kidnapping snuff sadism,"Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",12.677505,5.9,238,Diane Lane Billy Burke Colin Hanks Joseph Cross Mary Beth Hurt,Gregory Hoblit,['James McQuaide'],,,['Anastas N. Michos'],['United States of America'],"['Cohen/Pearl Productions', 'Screen Gems', 'Lakeshore Entertainment']",['English']
3064,Up,175000000,Animation Comedy Family Adventure,14160,age difference central and south america balloon animation floating in the air,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",92.201962,7.7,6870,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter,"['Andrew Stanton', 'John Lasseter']",,,"['Jean-Claude Kalache', 'Patrick Lin']",['United States of America'],['Pixar Animation Studios'],['English']
3065,Up in the Air,25000000,Drama Romance,22947,suitcase business omaha on the road downsizing,"George Clooney plays the dry cynical character of Ryan Bingham, an executive who specializes in ""downsizing"". Ryan lives out of his suitcase, traveling the country for the sole purpose terminating unwanted employees day after day. Just as Ryan is about to reach his life-long goal of the ten million mile frequent flyer mark some major changes come his way. Changes that threaten to crack the cold heartless exterior that is Ryan Bingham.",33.704181,6.7,1205,George Clooney Vera Farmiga Anna Kendrick Jason Bateman Melanie Lynskey,Jason Reitman,"['Ted Griffin', 'Joe Medjuck', 'Tom Pollock', 'Michael Beugg']",,['Rolfe Kent'],['Eric Steelberg'],['United States of America'],"['Paramount Pictures', 'DW Studios', 'Cold Spring Pictures', 'Rickshaw Productions', 'Right of Way Films', 'Montecito Picture Company, The']",['English']
3066,Urban Legend,14000000,Horror Thriller,9877,college murder urban legend slasher killer,"There's a campus killer on the loose who's making urban legends, like the one about eating pop rocks and soda at the same time will make your stomach explode and the one about a psycho with an axe stepping into the backseat of your car at the gas station when not looking, into reality.",12.159009,5.6,290,Alicia Witt Jared Leto Rebecca Gayheart Michael Rosenbaum Loretta Devine,Jamie Blanks,"['Brad Luff', 'Brian Leslie Parker']",,['Christopher Young'],['James Chressanthis'],"['Canada', 'France', 'United States of America']","['TriStar Pictures', 'Canal+ Droits Audiovisuels', 'Original Film', 'Phoenix Pictures']","['Italiano', 'English']"
3067,Urban Legends: Final Cut,14000000,Horror,12212,film making high school sequel serial killer slasher,"The making of a horror movie takes on a terrifying reality for students at the most prestigious film school in the country in 'Urban Legends: Final Cut', the suspenseful follow up to the smash hit 'Urban Legend'. At Alpine University, someone is determined to win the best film award at any cost - even if it means eliminating the competition. No one is safe and everyone is a suspect. 'Urban Legends: Final Cut' is an edge-of-your-seat thriller that will keep you guessing until the shocking climax.",8.885017,4.4,100,Jennifer Morrison Matthew Davis Loretta Devine Hart Bochner Anthony Anderson,John Ottman,,,['Damon Intrabartolo'],['Brian Pearson'],"['Canada', 'United States of America']","['Phoenix Pictures', 'Canal+ Droits Audiovisuels', 'Original Film']",['English']
3068,Vacation,31000000,Comedy,296099,route 66 grand canyon cow vacation road trip,"Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, a grown up Rusty Griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in America, Walley World. Needless to say, things don't go quite as planned.",47.753598,6.2,1195,Ed Helms Christina Applegate Skyler Gisondo Steele Stebbins Chris Hemsworth,John Francis Daley,"['Dave Neustadter', 'Toby Emmerich', 'Jeff Kleeman', 'Richard Brener', 'Marc S. Fischer', 'Samuel J. Brown']","['John Francis Daley', 'Jonathan M. Goldstein']",['Mark Mothersbaugh'],['Barry Peterson'],['United States of America'],"['David Dobkin Productions', 'BenderSpink', 'New Line Cinema']",['English']
3069,Valentine's Day,52000000,Comedy Romance,32856,flower married couple florist kiss single,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter; are any worth saving? A grade-school boy wants flowers for his first true love; two high school seniors plan first-time sex at noon; a TV sports reporter gets the assignment to find romance in LA; a star quarterback contemplates his future; two strangers meet on a plane; grandparents, together for years, face a crisis; and, an ""I Hate Valentine's Day"" dinner beckons the lonely and the lied to. Can Cupid finish his work by midnight?",25.41929,5.7,1013,Jessica Alba Jessica Biel Bradley Cooper Eric Dane Patrick Dempsey,Garry Marshall,,"['Marc Silverstein', 'Abby Kohn']",,['Charles Minsky'],['United States of America'],"['Rice Films', 'New Line Cinema', 'Karz Entertainment']",['English']
3070,Valiant,35000000,Animation Family Adventure,14175,animation animal 3d,"The animated comedy tells the story of a lowly wood pigeon named Valiant, who overcomes his small size to become a hero in Great Britain's Royal Air Force Homing Pigeon Service during World War II. The RHPS advanced the Allied cause by flying vital messages about enemy movements across the English Channel, whilst evading brutal attacks by the enemy's Falcon Brigade.",14.051851999999998,5.2,235,Ewan McGregor Ricky Gervais Tim Curry Jim Broadbent Hugh Laurie,Gary Chapman,,['Jordan Katz'],,,['United Kingdom'],"['Vanguard Films', 'Scanbox']",['English']
3071,Valkyrie,75000000,Drama Thriller History War,2253,berlin suicide bomb assassination resistance,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",38.832842,6.7,1173,Tom Cruise Carice van Houten Kenneth Branagh Bill Nighy Terence Stamp,Bryan Singer,['John Ottman'],,['John Ottman'],['Newton Thomas Sigel'],"['Germany', 'United States of America']","['Achte Babelsberg Film', 'Metro-Goldwyn-Mayer (MGM)', 'United Artists', 'Bad Hat Harry Productions']","['English', 'Deutsch']"
3072,Vampire in Brooklyn,14000000,Comedy Horror Romance,12158,vampire half vampire,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",6.772614999999999,4.5,111,Eddie Murphy Angela Bassett Allen Payne Kadeem Hardison John Witherspoon,Wes Craven,"['Marianne Maddalena', 'Stuart M. Besser']",,,['Mark Irwin'],['United States of America'],['Paramount Pictures'],['English']
3073,Vampires Suck,20000000,Horror Comedy,40264,vampire high school prom spoof horror spoof,"Becca, an anxious, non-vampire teen is torn between two boys. Before she can choose, Becca must get around her controlling father, who embarrasses Becca by treating her like a child. Meanwhile, Becca's friends contend with their own romantic issues - all of which collide at the prom.",17.165039,4.2,315,Chris Riggi Matt Lanter Jenn Proske Ken Jeong Bradley Dodds,Jason Friedberg,['Arnon Milchan'],"['Jason Friedberg', 'Aaron Seltzer']",['Christopher Lennertz'],['Shawn Maurer'],['United States of America'],"['Regency Enterprises', 'Road Rebel']","['Español', 'English']"
3074,Vanilla Sky,68000000,Drama Mystery Romance Science Fiction Thriller,1903,amnesia ex-girlfriend virtual reality,"David Aames (Tom Cruise) has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",27.299301,6.5,1078,Tom Cruise Pen\u00e9lope Cruz Cameron Diaz Kurt Russell Jason Lee,Cameron Crowe,,,['Nancy Wilson'],['John Toll'],['United States of America'],"['Cruise-Wagner Productions', 'Paramount Pictures', 'Vinyl Films']",['English']
3075,Vanity Fair,23000000,Drama Romance,11632,london england british empire lover advancement aristocrat,"Beautiful, funny, passionate, and calculating, Becky is the orphaned daughter of a starving English artist and a French chorus girl. She yearns for a more glamorous life than her birthright promises and resolves to conquer English society by any means possible. A mere ascension into the heights of society is simply not enough. So Becky finds a patron in the powerful Marquess of Steyne whose whims enable Becky to realise her dreams. But is the ultimate cost too high for her?",6.6181490000000025,5.5,73,Reese Witherspoon James Purefoy Jonathan Rhys Meyers Romola Garai Gabriel Byrne,Mira Nair,"['Howard Cohen', 'Jonathan Lynn', 'Pippa Cross']",,['Mychael Danna'],['Declan Quinn'],"['United Kingdom', 'United States of America']","['Alliance Films', 'Focus Features']","['Deutsch', 'Français', 'English']"
3076,Vantage Point,40000000,Drama Action Thriller Crime,7461,bomb terror spain usa president terrorist,The attempted assassination of the American President is told and re-told from several different perspectives.,24.862767,6.2,716,Dennis Quaid Matthew Fox Forest Whitaker Sigourney Weaver William Hurt,Pete Travis,"['Tania Landau', 'Callum Greene', 'Lynwood Spinks']",['Barry Levy'],['Atli \\u00d6rvarsson'],['Amir Mokri'],['United States of America'],"['Relativity Media', 'Columbia Pictures', 'Original Film', 'Kanzaman', 'Art In Motion']","['English', 'Español']"
